token_id,name,bio,current_price(eth),cumulative,shooting,finish,defense,vision,background,fur,mouth,eyes,clothes,head,head_accessory,jewellery
0,,,,218,42,81,41,54,Gold,Grey,Saber Toothed,Bloodshot,White Tee,,,
1,,,,204,40,59,53,52,Light Grey,Brown,Regular,Angry,Red Kimono,Green Beret,,
2,,,,219,66,60,63,30,Light Blue,Grey,Ooh,Closed,Striped Tee,Green Beret,,
3,,,,237,45,74,55,63,Brown,Pink,Shows Teeth,Wide Scar,Dego Tee Blooded,,,
4,,,,206,46,45,55,60,Pink,White Noise,Regular,Regular,,Cap Forward,,
5,,,,177,36,38,50,53,Light Grey,Pink,Ooh,Closed Scar,Dress,Chopsticks Bun,,
6,,,,189,58,53,42,36,Grey,Black,Regular,Closed Scar,Fusion Gi,,,
7,,,,186,49,59,43,35,Light Grey,Brown,Scream,Closed Scar,Shaolin Vest,Blonde Bun,,
8,,,,157,75,32,18,32,Purple,Sky Blue,Regular,Wide,Red Kimono,,,
9,,,,174,58,39,27,50,Gold,Brown,Saber Toothed,Angry Scar,White Tee,RKL Cap Forward,,
10,,,,248,40,62,70,76,Yellow,Black,Ooh,Wide Scar,Striped Tee,RKL Cap Sideways,3D Glasses,
11,,,,226,49,62,72,43,Grey,Black,Scream,Sad,Biker Jacket,,,
12,,,,198,63,67,38,30,Dark Blue,Pink,Gold Saber Toothed,Regular,Trippy Tee,Chopsticks Bun,,
13,,,,176,42,71,52,11,Pink,Pink,Gold Saber Toothed,Wide,Dego Tee Blooded,,,
14,,,,205,49,33,43,80,Grey,Sky Blue,Regular,Regular,Striped Tee,,,
15,,,,181,57,40,55,29,Grey,Sky Blue,Tongue Out,Regular,Hawaii Shirt,Cap Forward,Blue Shades,
16,,,,259,63,52,80,64,Cyan,Black,Shows Teeth,Wide,White Tee,Red Bandana,,
17,,,,195,43,20,57,75,Brown,White Noise,Shows Teeth,Bloodshot,Dego Tee Blooded,RKL Cap Sideways,,
18,,,,251,58,78,58,57,Brown,Black,Shows Teeth,Angry,Tracksuit,,,
19,,,,231,38,79,81,33,Grey,White Noise,Gold Saber Toothed,Angry,Cyan Jersey,,,
20,,,,190,51,33,54,52,Grey,Grey,Gold Saber Toothed,Wide Scar,Trippy Tee,,Broken Glasses,
21,,,,198,47,49,64,38,Light Blue,Pink,Scream,Bloodshot,Hawaii Shirt,,Gold Stud,
22,,,,214,64,67,46,37,Grey,Red,Scream,Angry Wink,Fusion Gi,Green Beret,,
23,,,,184,25,73,64,22,Brown,Black,Regular,Wide Scar,Biker Jacket,Chopsticks Bun,,
24,,,,235,61,35,47,92,Red,Brown,Scream,Regular,Green Kimono,RKL Cap Forward,,
25,,,,143,46,40,7,50,Cyan,Brown,Regular,Angry,,Bowler,,
26,,,,188,44,53,48,43,Cyan,Brown,Drool,Regular,Hawaii Shirt,,,
27,,,,184,38,11,94,41,Light Grey,Grey,Regular,Angry Wink,Tracksuit,,,
28,,,,164,33,40,20,71,Cyan,Red,Shows Teeth,Regular,Striped Tee,RKL Cap Forward,,
29,,,,170,36,47,26,61,Purple,White Noise,Drool,Closed Scar,Striped Tee,Beanie,,
30,,,,183,29,54,42,58,Brown,Brown,Scream,Wide,Biker Jacket,,,
31,,,,196,59,42,48,47,Pink,Brown,Gold Saber Toothed,Wide Scar,Striped Tee,RKL Cap Sideways,,
32,,,,215,33,68,32,82,Cyan,Brown,Kiss,Wide,,RKL Cap Forward,Gold Stud,
33,,,,225,71,66,33,55,Light Grey,Pink,Regular,Wide,,Horse Jockey Hat,,
34,,,,181,68,45,36,32,Brown,Red,Missing Teeth,Wide,Dego Tee Blooded,Russian Cap,Exotic Earring,
35,,,,216,55,74,38,49,Cyan,Pink,Ooh,Wide Scar,Biker Jacket,Blonde Bun,,
36,,,,195,52,29,57,57,Purple,White Noise,Drool,Regular,Shaolin Vest,Green Beret,3D Glasses,
37,,,,172,39,44,42,47,Grey,Sky Blue,Ooh,Closed Scar,Biker Jacket,RKL Cap Sideways,,
38,,,,164,40,36,37,51,Brown,Green,Kiss,Closed Scar,Trippy Tee,RKL Cap Forward,,
39,,,,245,57,41,77,70,Grey,Grey,Ooh,Angry,Dress,,,
40,,,,195,51,44,47,53,Pink,Brown,Scream,Closed,Shirt And Tie,Blonde Bun,Blue Shades,
41,,,,175,35,41,59,40,Pink,Brown,Scream,Wide,White Tee,,,
42,,,,191,44,73,66,8,Yellow,Hyper Cat,Scream,Red Glow,King Jersey,Gold Horns,,
43,,,,209,66,49,36,58,Light Grey,Pink,Drool,Wide,Tracksuit,Ski Glasses,,
44,,,,232,55,27,84,66,Light Blue,Brown,Referee,Closed Scar,,Blonde Bun,,
